180012,,,,42701
40062,,,,72917
110146,,,,31558
40067,,,,71754
180019,,,,41056
330204,,,,10016
330205,,,,10990
500005,,,,98111
180011,,,,40741
180010,,,,40504
490110,,,,24060
360098,,,,44077
500015,,,,98001
360096,,,,43920
490119,,,,23456
190297,,,,71446
340004,,,,27261
110135,,,,31036
270049,,,,59107
180029,,,,41701
180020,,,,40965
110142,,,,30417
110128,,,,30474
110121,,,,GA
110122,,,,GA
110129,,,,31995
500037,,,,98948
520089,,,,53715
430084,,,,57570
520088,,,,54935
100313,,,,32456
100315,,,,32940
180005,,,,41653
500019,,,,98531
500021,,,,98499
520097,,,,54303
520096,,,,53405
40020,,,,72401
430015,,,,57501
110189,,,,30513
430016,,,,57117
390314,,,,18017
390316,,,,19610
500054,,,,99204
190250,,,,70445
250004,,,,38801
190259,,,,70508
110194,,,,39845
250006,,,,38652
110192,,,,30078
450099,,,,79065
500051,,,,98004
110191,,,,30281
250009,,,,38834
450090,,,,76240
40011,,,,72833
40018,,,,72956
40015,,,,71953
40019,,,,72335
190263,,,,70508
500044,,,,99210
250012,,,,38635
250019,,,,39502
190266,,,,70810
40007,,,,72205
40004,,,,72703
430027,,,,57117
390304,,,,19128
390307,,,,16154
500060,,,,98223
190242,,,,70737
160008,,,,52632
520019,,,,54501
520017,,,,54729
180093,,,,42431
180095,,,,42064
250043,,,,39350
50278,,,,91346
250049,,,,39652
450055,,,,79556
450054,,,,76508
520028,,,,53566
520027,,,,53097
250061,,,,38965
250057,,,,39601
50289,,,,94015
520034,,,,54241
450044,,,,75390
180079,,,,41031
450085,,,,76450
450080,,,,75455
450082,,,,78102
180080,,,,40701
60096,,,,81657
520009,,,,54915
520004,,,,54601
180087,,,,42718
250031,,,,39183
520011,,,,54868
250038,,,,39046
180056,,,,42420
180053,,,,41041
250095,,,,38751
20018,,,,99559
250093,,,,38732
450015,,,,75235
520062,,,,53066
180067,,,,40536
180064,,,,40353
180066,,,,42276
450007,,,,78028
520076,,,,53916
450484,,,,75904
40084,,,,72015
520038,,,,53027
250069,,,,39301
250067,,,,39773
520045,,,,54956
450032,,,,75670
20001,,,,99519
520049,,,,54305
40078,,,,71901
520048,,,,54904
250084,,,,39120
180044,,,,41501
250082,,,,38704
230002,,,,48154
450029,,,,78044
250078,,,,39404
450028,,,,78520
520051,,,,53211
320086,,,,88201
370228,,,,74055
370227,,,,74055
230037,,,,49242
230036,,,,49707
380021,,,,97123
150157,,,,46032
50677,,,,91367
300003,,,,3756
230031,,,,48060
370218,,,,74133
60009,,,,80033
60006,,,,81401
60004,,,,80601
450447,,,,75110
230022,,,,49036
60001,,,,80631
150167,,,,46845
50204,,,,93552
50688,,,,95020
150166,,,,46307
50205,,,,91740
50689,,,,94583
60015,,,,80228
230055,,,,49801
60013,,,,81301
230054,,,,49855
60010,,,,80524
320059,,,,87420
150173,,,,47905
320074,,,,87124
370234,,,,73135
230053,,,,48202
370235,,,,74012
230046,,,,MI
450469,,,,75091
50224,,,,92663
60023,,,,81502
60022,,,,80909
450465,,,,77414
50226,,,,92801
60020,,,,81003
380071,,,,97128
230080,,,,48858
50231,,,,91767
150115,,,,47546
60034,,,,80113
450411,,,,76448
60031,,,,80907
520103,,,,53051
520102,,,,53121
230070,,,,48602
380052,,,,97914
150128,,,,46227
150126,,,,46307
450883,,,,76262
210011,,,,21229
380091,,,,97015
380089,,,,97062
320018,,,,88011
210002,,,,21201
10158,,,,35653
470001,,,,5641
210006,,,,21078
450431,,,,78705
210022,,,,20814
490090,,,,23901
230095,,,,48661
230092,,,,49201
380082,,,,97222
50261,,,,93257
230089,,,,48230
360009,,,,45804
450424,,,,77521
210012,,,,21215
340099,,,,27910
210019,,,,21801
10168,,,,36867
210017,,,,21550
340090,,,,27577
210032,,,,21921
80003,,,,19805
80001,,,,19718
360012,,,,43081
360010,,,,44622
450855,,,,78550
80004,,,,19901
210029,,,,21224
210028,,,,20650
360016,,,,45236
210044,,,,21204
360025,,,,44870
490066,,,,23188
450847,,,,77494
450844,,,,77070
360020,,,,44309
210037,,,,21601
210034,,,,21225
320006,,,,88201
320003,,,,87701
320004,,,,88310
490069,,,,23116
320002,,,,87505
340073,,,,27609
360035,,,,43222
490053,,,,24211
450872,,,,76017
450874,,,,75063
450871,,,,78746
360039,,,,43701
340060,,,,27288
360051,,,,45409
490044,,,,23439
330261,,,,10591
360048,,,,43699
450869,,,,78539
490045,,,,20110
210056,,,,21239
50625,,,,90048
110105,,,,31768
340050,,,,28359
490033,,,,22630
340049,,,,27704
340047,,,,27157
490038,,,,24354
340040,,,,NC
330233,,,,11212
450809,,,,78758
450803,,,,77091
490023,,,,20186
340037,,,,28086
340030,,,,27710
360080,,,,43935
360078,,,,44266
490013,,,,24558
360076,,,,45005
450833,,,,75119
360075,,,,44143
340021,,,,28150
340020,,,,27330
360095,,,,45840
450827,,,,76310
360086,,,,45504
450820,,,,77479
490009,,,,22908
340015,,,,28144
110028,,,,30901
110024,,,,31412
110023,,,,30701
340129,,,,28117
110031,,,,30223
100211,,,,33525
100212,,,,34478
340120,,,,28349
100213,,,,34209
340127,,,,27565
190177,,,,70433
100217,,,,32978
100231,,,,32514
190184,,,,71418
100224,,,,33321
100226,,,,32073
100228,,,,33324
110007,,,,31703
110005,,,,30041
170109,,,,66071
340109,,,,27909
670077,,,,77094
100209,,,,33175
190167,,,,70586
90003,,,,20060
100264,,,,34613
40147,,,,72118
40134,,,,72211
190140,,,,71295
100265,,,,34695
250138,,,,39208
