"110150","821 N COBB STREET  POST OFFICE BOX 690, MILLEDGEVILLE, GA, 31061","Match","Non_Exact","821 N COBB ST, MILLEDGEVILLE, GA, 31061","-83.24491,33.088234","639475906","R"
"490119","2025 GLENN MITCHELL DRIVE, VIRGINIA BEACH, VA, 23456","No_Match"
"490114","1990 HOLTON AVENUE EAST, BIG STONE GAP, VA, 24219","Match","Exact","1990 HOLTON AVE E, BIG STONE GAP, VA, 24219","-82.75691,36.876522","225716458","L"
"490113","2300 OPITZ BOULEVARD, WOODBRIDGE, VA, 22191","Match","Exact","2300 OPITZ BLVD, WOODBRIDGE, VA, 22191","-77.285545,38.635113","640843499","L"
"190298","651 NORTH BOLTON AVE, ALEXANDRIA, LA, 71301","Match","Non_Exact","651 N BOLTON AVE, ALEXANDRIA, LA, 71303","-92.46652,31.314604","612140343","R"
"340003","830 ROCKFORD ST, MOUNT AIRY, NC, 27030","Match","Exact","830 ROCKFORD ST, MOUNT AIRY, NC, 27030","-80.61117,36.48844","154160323","L"
"490116","2400 LEE HIGHWAY, PULASKI, VA, 24301","Match","Exact","2400 LEE HWY, PULASKI, VA, 24301","-80.75755,37.0696","47016938","R"
"190297","815 SOUTH 10TH STREET, LEESVILLE, LA, 71446","No_Match"
"340004","601 N ELM ST  PO BOX HP-5, HIGH POINT, NC, 27261","No_Match"
"490115","200 HOSPITAL DRIVE, GALAX, VA, 24333","Match","Exact","200 HOSPITAL DR, GALAX, VA, 24333","-80.923805,36.671814","153861977","R"
"180024","320 LORETTO ROAD, LEBANON, KY, 40033","Match","Exact","320 LORETTO RD, LEBANON, KY, 40033","-85.26058,37.57062","636248585","L"
"430048","1440 N MAIN ST, SPEARFISH, SD, 57783","Match","Non_Exact","1440 N MAIN ST, SPEARFISH, SD, 57783","-103.86117,44.49803","193362356","R"
"40051","778 SCOGIN DRIVE, MONTICELLO, AR, 71655","Match","Exact","778 SCOGIN DR, MONTICELLO, AR, 71655","-91.814995,33.610245","2439840","L"
"180025","4305 NEW SHEPHERDSVILLE ROAD, BARDSTOWN, KY, 40004","Match","Non_Exact","4305 NEW SHEPHERDSVILLE RD, BARDSTOWN, KY, 40004","-85.52276,37.863148","634398641","L"
"110135","1297 MACON HIGHWAY, HAWKINSVILLE, GA, 31036","No_Match"
"180027","803 POPLAR STREET, MURRAY, KY, 42071","Match","Exact","803 POPLAR ST, MURRAY, KY, 42071","-88.30875,36.608643","31709069","L"
"270049","1233 N 30TH ST, BILLINGS, MT, 59107","No_Match"
"110132","1500 E SHOTWELL STREET, BAINBRIDGE, GA, 39819","Match","Non_Exact","1500 E SHOTWELL ST, BAINBRIDGE, GA, 39819","-84.553406,30.90389","84278986","L"
"40055","1001 TOWSON AVENUE, FORT SMITH, AR, 72901","Match","Exact","1001 TOWSON AVE, FORT SMITH, AR, 72901","-94.42131,35.374954","56100389","L"
"180029","100 MEDICAL CENTER DRIVE, HAZARD, KY, 41701","No_Match"
"180020","3600 WEST CUMBERLAND AVENUE, MIDDLESBORO, KY, 40965","No_Match"
"180021","850 RIVERVIEW AVENUE, PINEVILLE, KY, 40977","Match","Exact","850 RIVERVIEW AVE, PINEVILLE, KY, 40977","-83.70777,36.763298","639472045","R"
"490101","3600 JOSEPH SIEWICK DRIVE, FAIRFAX, VA, 22033","Match","Exact","3600 JOSEPH SIEWICK DR, FAIRFAX, VA, 22033","-77.37884,38.88482","642144551","R"
"500003","1415 KINCAID STREET, MOUNT VERNON, WA, 98274","Match","Non_Exact","1415 E KINCAID ST, MOUNT VERNON, WA, 98274","-122.323944,48.41746","183650843","R"
"500002","401 W POPLAR ST, WALLA WALLA, WA, 99362","Match","Non_Exact","401 W POPLAR ST, WALLA WALLA, WA, 99362","-118.34328,46.062874","174673926","R"
"500001","1550 NORTH 115TH STREET, SEATTLE, WA, 98133","Match","Exact","1550 N 115TH ST, SEATTLE, WA, 98133","-122.33911,47.712307","187017830","L"
"490107","1850 TOWN CENTER PARKWAY, RESTON, VA, 20190","Match","Exact","1850 TOWN CENTER PKWY, RESTON, VA, 20190","-77.362816,38.96144","76045452","R"
"110142","200 N RIVER STREET, CLAXTON, GA, 30417","Tie"
